temperature: 32, humidity: 23, moisture: 19, water: 2, Year: 2018, Month: 12, Day: 03, Hour: 21, Min: 47, Sec: 12
temperature: 32, humidity: 23, moisture: 19, water: 5, Year: 2018, Month: 12, Day: 03, Hour: 21, Min: 48, Sec: 46
temperature: 32, humidity: 23, moisture: 19, water: 4, Year: 2018, Month: 12, Day: 03, Hour: 21, Min: 48, Sec: 58
temperature: 32, humidity: 23, moisture: 19, water: 2, Year: 2018, Month: 12, Day: 03, Hour: 22, Min: 01, Sec: 46
temperature: 32, humidity: 23, moisture: 19, water: 3, Year: 2018, Month: 12, Day: 03, Hour: 22, Min: 01, Sec: 55
temperature: 32, humidity: 23, moisture: 19, water: 2, Year: 2018, Month: 12, Day: 04, Hour: 07, Min: 47, Sec: 21
temperature: 32, humidity: 23, moisture: 19, water: 1, Year: 2018, Month: 12, Day: 04, Hour: 07, Min: 47, Sec: 59
temperature: 32, humidity: 23, moisture: 19, water: 0, Year: 2018, Month: 12, Day: 04, Hour: 07, Min: 48, Sec: 29
temperature: 32, humidity: 23, moisture: 19, water: 5, Year: 2018, Month: 12, Day: 04, Hour: 15, Min: 02, Sec: 49
temperature: 32, humidity: 23, moisture: 19, water: 4, Year: 2018, Month: 12, Day: 04, Hour: 15, Min: 03, Sec: 34
temperature: 32, humidity: 23, moisture: 19, water: 3, Year: 2018, Month: 12, Day: 04, Hour: 15, Min: 03, Sec: 48
temperature: 32, humidity: 23, moisture: 19, water: 0, Year: 2018, Month: 12, Day: 04, Hour: 16, Min: 46, Sec: 26
temperature: 20, humidity: 48, moisture: 4, water: 1, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 16, Sec: 14
temperature: 20, humidity: 48, moisture: 4, water: 1, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 16, Sec: 19
temperature: 20, humidity: 48, moisture: 4, water: 1, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 16, Sec: 24
temperature: 20, humidity: 48, moisture: 4, water: 1, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 16, Sec: 29
temperature: 20, humidity: 49, moisture: 7, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 16, Sec: 35
temperature: 20, humidity: 49, moisture: 7, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 16, Sec: 40
temperature: 20, humidity: 49, moisture: 7, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 16, Sec: 45
temperature: 20, humidity: 49, moisture: 7, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 16, Sec: 50
temperature: 20, humidity: 48, moisture: 6, water: 1, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 16, Sec: 56
temperature: 20, humidity: 48, moisture: 6, water: 1, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 17, Sec: 01
temperature: 20, humidity: 48, moisture: 6, water: 1, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 17, Sec: 06
temperature: 20, humidity: 48, moisture: 6, water: 1, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 17, Sec: 11
temperature: 20, humidity: 48, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 17, Sec: 17
temperature: 20, humidity: 48, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 17, Sec: 22
temperature: 20, humidity: 48, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 17, Sec: 27
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 53, Sec: 26
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 53, Sec: 31
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 53, Sec: 36
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 53, Sec: 41
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 53, Sec: 46
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 53, Sec: 51
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 53, Sec: 56
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 54, Sec: 01
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 54, Sec: 06
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 54, Sec: 11
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 54, Sec: 16
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 54, Sec: 21
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 54, Sec: 26
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 54, Sec: 31
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 54, Sec: 36
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 54, Sec: 41
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 54, Sec: 46
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 54, Sec: 51
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 54, Sec: 56
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 55, Sec: 01
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 58, Sec: 05
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 58, Sec: 10
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 58, Sec: 15
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 58, Sec: 20
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 58, Sec: 25
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 17, Min: 58, Sec: 30
